,lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
7006,0.8097928826258867,1.4303049301921409,-1.1898767332944737,-0.4115405832971447,-0.41711555554112734,0.506346445747971,0.0
20760,-0.13332540133902104,1.9447772862584563,-1.4817920072736825,0.4588465645910432,-0.41711555554112734,1.300194617869192,0.0
15143,-1.6696955090881753,0.958705270464736,1.7292760064976138,0.4588465645910432,-0.41711555554112734,1.167886589182322,0.0
10506,0.9619087348782492,-0.08095761575266032,1.7292760064976138,-0.4115405832971447,-0.41711555554112734,-1.3459659558682113,1.0
21377,-1.928292457917181,-0.08095761575266032,1.7292760064976138,0.4588465645910432,-0.41711555554112734,1.167886589182322,0.0
15384,0.6272538599230082,-0.8633843239367467,-0.8979614593152649,0.4588465645910432,-0.41711555554112734,-0.4198097550601202,1.0
5691,-2.521544281701536,-0.07023944166789466,0.5616149105807788,0.4588465645910432,-0.41711555554112734,1.5648106752429325,0.0
28213,-0.4375571058437463,0.412078392144276,-1.1898767332944737,1.3292337124792313,2.397417182638255,-0.022885668999509657,1.0
25386,0.15569471794060843,1.1730687521589833,-0.31413091135684745,-0.4115405832971447,-0.41711555554112734,0.2417303883742307,1.0
19598,-0.574461372870905,-0.9276933684450361,0.5616149105807788,1.3292337124792313,-0.41711555554112734,0.2417303883742307,0.0
14339,-0.39192235016802673,-1.67796555437513,0.5616149105807788,-1.2819277311853328,-0.41711555554112734,0.9032705318085816,0.0
1835,0.9619087348782492,0.7443417887703364,0.8535301845599876,0.4588465645910432,-0.41711555554112734,-0.4198097550601202,1.0
20781,-0.9547510035018657,-0.12383031209141838,-0.31413091135684745,0.4588465645910432,-0.41711555554112734,0.2417303883742307,1.0
2509,0.9314855644277334,1.8054410231571119,0.2696996366015701,-1.2819277311853328,-0.41711555554112734,0.9032705318085816,1.0
1880,0.9619087348782492,-0.08095761575266032,-1.1898767332944737,0.4588465645910432,-0.41711555554112734,-1.3459659558682113,1.0
11921,1.0836014166802042,1.6446684118863881,0.8535301845599876,0.4588465645910432,-0.41711555554112734,0.7709625031217114,1.0
21790,-0.924327833051458,1.3874322338532306,0.8535301845599876,-1.2819277311853328,-0.41711555554112734,1.0355785604954517,0.0
23696,0.9619087348782492,-0.08095761575266032,-0.022215637377638695,-0.4115405832971447,-0.41711555554112734,-1.3459659558682113,0.0
19197,-0.37671076494282285,-0.18813935659970782,0.5616149105807788,0.4588465645910432,-0.41711555554112734,-0.28750172637325,0.0
28912,0.7033117860491355,1.923340938088925,-1.1898767332944737,-0.4115405832971447,2.397417182638255,1.0355785604954517,0.0
13477,-1.1677131966552599,1.3981504079379963,1.7292760064976138,0.4588465645910432,-0.41711555554112734,1.167886589182322,0.0
